gene,eigenvalue,phi1,phi2,r2,root_type,half_life,eigenperiod
1700003I16Rik,0.574037,0.256831,0.182088,0.09976,Real,1.2488,NA
1700129C05Rik,0.494298,0.206157,0.142428,0.074209,Real,0.9837,NA
1810015A16Rik,0.473057,0.220191,0.11962,0.070799,Real,0.926,NA
2210019I11Rik,0.711894,0.300378,0.292956,0.223,Real,2.0397,NA
2310069B03Rik,0.619163,0.608741,0.006453,0.327598,Real,1.4459,NA
2610035F20Rik,0.768633,0.483319,0.219301,0.299958,Real,2.6341,NA
2610301B20Rik,0.29046,0.21551,0.02177,0.049071,Real,0.5607,NA
2700078F05Rik,0.401108,0.534697,-0.160888,0.240963,Complex,0.7588,7.4688
2810001G20Rik,0.381053,0.114269,0.101659,0.025529,Real,0.7184,NA
2810408B13Rik,0.784314,0.261758,0.409848,0.311352,Real,2.8531,NA
4833410I11Rik,0.725156,0.285613,0.318737,0.228968,Real,2.1569,NA
4833411I10Rik,0.834475,0.331735,0.419524,0.3486,Real,3.8306,NA
4833420G17Rik,0.478375,0.818624,-0.228843,0.467942,Complex,0.94,11.5493
4930405H06Rik,0.815161,0.308237,0.413224,0.352186,Real,3.3916,NA
4930434J08Rik,0.74781,0.371229,0.281611,0.279025,Real,2.3852,NA
4930563D23Rik,0.536777,0.093386,0.238002,0.067523,Real,1.1141,NA
4930566F21Rik,0.347752,0.245655,0.035505,0.064788,Real,0.6562,NA
4930570E03Rik,0.873636,0.37074,0.439348,0.421277,Real,5.1309,NA
4933403O08Rik,0.859794,0.449559,0.352717,0.357405,Real,4.5885,NA
4933406C10Rik,0.245885,0.124245,0.029909,0.013248,Real,0.4941,NA
4933407C09Rik,0.291074,0.489062,-0.084724,0.208402,Complex,0.5616,10.9591
4933417C20Rik,0.701916,0.201471,0.351271,0.184462,Real,1.9584,NA
4933433N18Rik,0.664781,0.45281,0.140914,0.247713,Real,1.6977,NA
5830408C22Rik,0.882131,0.332481,0.484863,0.420267,Real,5.5268,NA
9130009M17Rik,0.172744,-0.067734,-0.029841,0.004865,Complex,0.3947,3.5536
9330133O14Rik,0.771573,0.309091,0.356839,0.265083,Real,2.6729,NA
9430038I01Rik,0.42844,0.243322,0.079312,0.081043,Real,0.8178,NA
A230009B12Rik,0.874814,0.372163,0.439726,0.414241,Real,5.1826,NA
Abcb4,0.823295,0.669483,0.126632,0.565289,Real,3.5648,NA
Abcc8,0.531089,0.060501,0.249925,0.068499,Real,1.0953,NA
Abhd4,0.892372,0.525946,0.326988,0.534115,Real,6.087,NA
Acap1,0.229371,0.129038,0.023014,0.016936,Real,0.4708,NA
Ackr1,0.229773,-0.075163,0.035525,0.006771,Real,0.4713,NA
Actg1,0.421955,0.730236,-0.178046,0.403014,Complex,0.8033,11.9669
Actr6,0.853086,0.76159,0.078054,0.625295,Real,4.3623,NA
Acy3,0.763827,0.833137,-0.052941,0.587556,Real,2.5728,NA
